"plate","row","column","culture_well","elisa_well","sample_name","replicate_ID","days_diff","abs_corrected"
"plate1","A","column1","A1","A1","d0",1,0,0.51022897
"plate1","B","column1","B1","B1","d2",1,2,0.59973529
"plate1","A","column2","A2","E1","d2",2,2,0.4367203
"plate1","D","column2","D2","H1","d0",2,0,0.40791346
"plate1","C","column3","C3","C2","d0",3,0,0.46237259
"plate1","D","column3","D3","D2","d2",3,2,0.55930499
"plate1","B","column4","B4","F2","d0",4,0,0.48067095
"plate1","C","column4","C4","G2","d2",4,2,0.51234636
"plate1","A","column5","A5","A3","d0",5,0,0.54803315
"plate1","B","column5","B5","B3","d2",5,2,0.6697318
"plate1","A","column6","A6","E3","d2",6,2,0.40100096
"plate1","D","column6","D6","H3","d0",6,0,0.38439048
"plate2","C","column1","C7","C4","d0",7,0,0.44711525
"plate2","D","column1","D7","D4","d2",7,2,0.35441594
"plate2","B","column2","B8","F4","d0",8,0,0.37205379
"plate2","C","column2","C8","G4","d2",8,2,0.41397181
"plate2","A","column3","A9","A5","d0",9,0,0.55576261
"plate2","B","column3","B9","B5","d2",9,2,0.52987153
"plate2","A","column4","A10","E5","d2",10,2,0.44645634
"plate2","D","column4","D10","H5","d0",10,0,0.303301
"plate2","C","column5","C11","C6","d0",11,0,0.56315019
"plate2","D","column5","D11","D6","d2",11,2,0.25506995
"plate2","B","column6","B12","F6","d0",12,0,0.32197191
"plate2","C","column6","C12","G6","d2",12,2,0.31799485
