"plate","cond_med","row","column","culture_well","elisa_well","sample_name","replicate_ID","days_diff","abs_corrected"
"plate1","immort","A","column1","A1","A2","d0_imm",1,0,0.10070921
"plate1","immort","B","column1","B1","B2","d2_imm",1,2,0.0701894
"plate1","immort","C","column1","C1","C2","d10_imm",1,10,0.07166545
"plate1","none","D","column1","D1","D2","T_stim",1,NA,0.11150945
"plate1","immort","A","column2","A2","A3","d2_imm",2,2,0.06080113
"plate1","immort","B","column2","B2","B3","d10_imm",2,10,0.07726388
"plate1","immort","C","column2","C2","C3","d0_imm",2,0,0.10786191
"plate1","none","D","column2","D2","D3","T_stim",2,NA,0.08612906
"plate1","immort","A","column3","A3","A4","d10_imm",3,10,0.08601764
"plate1","immort","B","column3","B3","B4","d0_imm",3,0,0.09500407
"plate1","immort","C","column3","C3","C4","d2_imm",3,2,0.05813412
"plate1","none","D","column3","D3","D4","T_stim",3,NA,0.10353509
"plate1","immort","A","column4","A4","A5","d0_imm",4,0,0.11434259
"plate1","immort","B","column4","B4","B5","d2_imm",4,2,0.05857844
"plate1","immort","C","column4","C4","C5","d10_imm",4,10,0.06321748
"plate1","none","D","column4","D4","D5","T_stim",4,NA,0.11289104
"plate1","immort","A","column5","A5","A6","d2_imm",5,2,0.0594555
"plate1","immort","B","column5","B5","B6","d10_imm",5,10,0.05862444
"plate1","immort","C","column5","C5","C6","d0_imm",5,0,0.09433011
"plate1","none","D","column5","D5","D6","T_stim",5,NA,0.11053225
"plate1","immort","A","column6","A6","A7","d10_imm",6,10,0.11026752
"plate1","immort","B","column6","B6","B7","d0_imm",6,0,0.08833063
"plate1","immort","C","column6","C6","C7","d2_imm",6,2,0.05083351
"plate1","none","D","column6","D6","D7","T_stim",6,NA,0.11802179
"plate2","none","D","column1","D7","H2","T_unstim",1,NA,0.05325665
"plate2","none","D","column2","D8","H3","T_unstim",2,NA,0.0681267
"plate2","none","D","column3","D9","H4","T_unstim",3,NA,0.073543
"plate2","none","D","column4","D10","H5","T_unstim",4,NA,0.05752555
"plate2","none","D","column5","D11","H6","T_unstim",5,NA,0.06016188
"plate2","none","D","column6","D12","H7","T_unstim",6,NA,0.06848741
