Gene stable ID,Gene name
ENSG00000106263,EIF3B
ENSG00000130811,EIF3G
ENSG00000107581,EIF3A
ENSG00000175390,EIF3F
ENSG00000100353,EIF3D
ENSG00000104131,EIF3J
ENSG00000100129,EIF3L
ENSG00000149100,EIF3M
ENSG00000104408,EIF3E
ENSG00000084623,EIF3I
ENSG00000147677,EIF3H
ENSG00000178982,EIF3K
ENSG00000140534,TICRR
ENSG00000205609,EIF3CL
ENSG00000184110,EIF3C
ENSG00000122033,MTIF3
ENSG00000085760,MTIF2
ENSG00000173933,RBM4
ENSG00000136942,RPL35
ENSG00000198034,RPS4X
ENSG00000215472,RPL17-C18orf32
ENSG00000265681,RPL17
ENSG00000123908,AGO2
ENSG00000096150,RPS18
ENSG00000168028,RPSA
ENSG00000108298,RPL19
ENSG00000198918,RPL39
ENSG00000171858,RPS21
ENSG00000114784,EIF1B
ENSG00000226225,RPS18
ENSG00000197958,RPL12
ENSG00000188846,RPL14
ENSG00000198242,RPL23A
ENSG00000138326,RPS24
ENSG00000122026,RPL21
ENSG00000161016,RPL8
ENSG00000145425,RPS3A
ENSG00000221983,UBA52
ENSG00000175376,EIF1AD
ENSG00000231500,RPS18
ENSG00000142937,RPS8
ENSG00000115211,EIF2B4
ENSG00000109475,RPL34
ENSG00000070785,EIF2B3
ENSG00000232169,ABCF1
ENSG00000197756,RPL37A
ENSG00000105372,RPS19
ENSG00000197728,RPS26
ENSG00000142676,RPL11
ENSG00000233927,RPS28
ENSG00000144713,RPL32
ENSG00000089195,TRMT6
ENSG00000260501,RPL7A
ENSG00000149806,FAU
ENSG00000206490,ABCF1
ENSG00000143486,EIF2D
ENSG00000177600,RPLP2
ENSG00000147403,RPL10
ENSG00000137154,RPS6
ENSG00000174444,RPL4
ENSG00000198755,RPL10A
ENSG00000186468,RPS23
ENSG00000229117,RPL41
ENSG00000108107,RPL28
ENSG00000172809,RPL38
ENSG00000235650,RPS18
ENSG00000198692,EIF1AY
ENSG00000173674,EIF1AX
ENSG00000140986,RPL3L
ENSG00000089009,RPL6
ENSG00000130741,EIF2S3
ENSG00000140988,RPS2
ENSG00000089157,RPLP0
ENSG00000223367,RPS18
ENSG00000161970,RPL26
ENSG00000171863,RPS7
ENSG00000145592,RPL37
ENSG00000110700,RPS13
ENSG00000129824,RPS4Y1
ENSG00000063177,RPL18
ENSG00000262088,RPS25
ENSG00000125691,RPL23
ENSG00000137818,RPLP1
ENSG00000156976,EIF4A2
ENSG00000145191,EIF2B5
ENSG00000134001,EIF2S1
ENSG00000231129,ABCF1
ENSG00000166441,RPL27A
ENSG00000083845,RPS5
ENSG00000163682,RPL9
ENSG00000124614,RPS10
ENSG00000148303,RPL7A
ENSG00000135930,EIF4E2
ENSG00000156482,RPL30
ENSG00000162244,RPL29
ENSG00000163412,EIF4E3
ENSG00000265823,EIF2D
ENSG00000142541,RPL13A
ENSG00000142534,RPS11
ENSG00000172239,PAIP1
ENSG00000100316,RPL3
ENSG00000139726,DENR
ENSG00000070756,PABPC1
ENSG00000241343,RPL36A
ENSG00000037241,RPL26L1
ENSG00000177954,RPS27
ENSG00000174748,RPL15
ENSG00000116251,RPL22
ENSG00000118181,RPS25
ENSG00000225989,ABCF1
ENSG00000236342,ABCF1
ENSG00000158417,EIF5B
ENSG00000008988,RPS20
ENSG00000164587,RPS14
ENSG00000204574,ABCF1
ENSG00000175766,EIF4E1B
ENSG00000100664,EIF5
ENSG00000111361,EIF2B1
ENSG00000173812,EIF1
ENSG00000213741,RPS29
ENSG00000125977,EIF2S2
ENSG00000071082,RPL31
ENSG00000122406,RPL5
ENSG00000115268,RPS15
ENSG00000131469,RPL27
ENSG00000114867,EIF4G1
ENSG00000149273,RPS3
ENSG00000063046,EIF4B
ENSG00000121022,COPS5
ENSG00000134419,RPS15A
ENSG00000167526,RPL13
ENSG00000187840,EIF4EBP1
ENSG00000184779,RPS17
ENSG00000151247,EIF4E
ENSG00000182774,RPS17L
ENSG00000147604,RPL7
ENSG00000170889,RPS9
ENSG00000105193,RPS16
ENSG00000114391,RPL24
ENSG00000112306,RPS12
ENSG00000130255,RPL36
ENSG00000161960,EIF4A1
ENSG00000119718,EIF2B2
ENSG00000105640,RPL18A
ENSG00000106682,EIF4H
ENSG00000236149,ABCF1
ENSG00000143947,RPS27A
ENSG00000182899,RPL35A
ENSG00000263344,EIF4H
ENSG00000269315,RPL36A
ENSG00000271572,RPS9
ENSG00000272852,RPS19
ENSG00000268963,RPL10
ENSG00000263076,RPS9
ENSG00000273135,RPS9
ENSG00000272943,RPS9
ENSG00000273467,RPS9
ENSG00000273385,RPS9
ENSG00000263332,RPS9
ENSG00000272643,RPS9
ENSG00000272614,RPS9
ENSG00000134030,CTIF
ENSG00000154059,IMPACT
ENSG00000110321,EIF4G2
ENSG00000106211,HSPB1
ENSG00000128829,EIF2AK4
ENSG00000079785,DDX1
ENSG00000136937,NCBP1
ENSG00000183655,KLHL25
ENSG00000075151,EIF4G3
ENSG00000114503,NCBP2
ENSG00000066926,FECH
ENSG00000086232,EIF2AK1
ENSG00000172071,EIF2AK3
ENSG00000124374,PAIP2B
ENSG00000148730,EIF4EBP2
ENSG00000131759,RARA
ENSG00000120727,PAIP2
ENSG00000243056,EIF4EBP3
ENSG00000102081,FMR1
ENSG00000047410,TPR
ENSG00000268103,FMR1
ENSG00000152430,BOLL
ENSG00000175634,RPS6KB2
ENSG00000188120,DAZ1
ENSG00000215301,DDX3X
ENSG00000161570,CCL5
ENSG00000092345,DAZL
ENSG00000108443,RPS6KB1
ENSG00000121774,KHDRBS1
ENSG00000152332,UHMK1
ENSG00000271503,CCL5
ENSG00000204490,TNF
ENSG00000228849,TNF
ENSG00000206439,TNF
ENSG00000228321,TNF
ENSG00000230108,TNF
ENSG00000223952,TNF
ENSG00000232810,TNF
ENSG00000181163,NPM1
