Gene stable ID,Gene name
ENSG00000089127,OAS1
ENSG00000111331,OAS3
ENSG00000206298,PSMB8
ENSG00000159110,IFNAR2
ENSG00000142166,IFNAR1
ENSG00000185507,IRF7
ENSG00000111335,OAS2
ENSG00000135114,OASL
ENSG00000125347,IRF1
ENSG00000230034,PSMB8
ENSG00000229252,HLA-E
ENSG00000206509,HLA-F
ENSG00000206506,HLA-G
ENSG00000206505,HLA-A
ENSG00000184979,USP18
ENSG00000223532,HLA-B
ENSG00000119922,IFIT2
ENSG00000119917,IFIT3
ENSG00000206493,HLA-E
ENSG00000187608,ISG15
ENSG00000185745,IFIT1
ENSG00000229215,HLA-A
ENSG00000170581,STAT2
ENSG00000171855,IFNB1
ENSG00000137080,IFNA21
ENSG00000236637,IFNA4
ENSG00000214042,IFNA7
ENSG00000186803,IFNA10
ENSG00000147885,IFNA16
ENSG00000234829,IFNA17
ENSG00000228083,IFNA14
ENSG00000147873,IFNA5
ENSG00000120235,IFNA6
ENSG00000188379,IFNA2
ENSG00000120242,IFNA8
ENSG00000197919,IFNA1
ENSG00000067066,SP100
ENSG00000117595,IRF6
ENSG00000183486,MX2
ENSG00000157601,MX1
ENSG00000228299,HLA-C
ENSG00000235220,HLA-F
ENSG00000230669,PSMB8
ENSG00000179295,PTPN11
ENSG00000235346,HLA-G
ENSG00000196396,PTPN1
ENSG00000168310,IRF2
ENSG00000231631,PSMB8
ENSG00000235657,HLA-A
ENSG00000206452,HLA-C
ENSG00000237508,HLA-F
ENSG00000206450,HLA-B
ENSG00000235680,HLA-G
ENSG00000231834,HLA-A
ENSG00000105397,TYK2
ENSG00000137265,IRF4
ENSG00000115415,STAT1
ENSG00000162434,JAK1
ENSG00000204642,HLA-F
ENSG00000235715,PSMB8
ENSG00000237022,HLA-C
ENSG00000224608,HLA-B
ENSG00000204632,HLA-G
ENSG00000206503,HLA-A
ENSG00000126709,IFI6
ENSG00000120738,EGR1
ENSG00000126456,IRF3
ENSG00000229698,HLA-F
ENSG00000233095,HLA-G
ENSG00000223980,HLA-A
ENSG00000237216,HLA-G
ENSG00000230254,HLA-E
ENSG00000160710,ADAR
ENSG00000236443,PSMB8
ENSG00000206435,HLA-C
ENSG00000228964,HLA-B
ENSG00000162645,GBP2
ENSG00000185338,SOCS1
ENSG00000225691,HLA-C
ENSG00000232126,HLA-B
ENSG00000132530,XAF1
ENSG00000140968,IRF8
ENSG00000068079,IFI35
ENSG00000128604,IRF5
ENSG00000204264,PSMB8
ENSG00000184557,SOCS3
ENSG00000213928,IRF9
ENSG00000137403,HLA-F
ENSG00000185201,IFITM2
ENSG00000185885,IFITM1
ENSG00000142089,IFITM3
ENSG00000068745,IP6K2
ENSG00000172183,ISG20
ENSG00000204525,HLA-C
ENSG00000226201,PSMB8
ENSG00000230413,HLA-G
ENSG00000234745,HLA-B
ENSG00000224320,HLA-A
ENSG00000165949,IFI27
ENSG00000111679,PTPN6
ENSG00000233904,HLA-E
ENSG00000135828,RNASEL
ENSG00000265434,HLA-ABC
ENSG00000268954,PTPN6
ENSG00000096384,HSP90AB1
ENSG00000105401,CDC37
ENSG00000175354,PTPN2
ENSG00000140853,NLRC5
ENSG00000105298,CACTIN
ENSG00000262860,LSM14A
ENSG00000124256,ZBP1
ENSG00000088888,MAVS
ENSG00000257103,LSM14A
ENSG00000168040,FADD
ENSG00000114251,WNT5A
