Gene stable ID	Gene name
ENSMODG00000014084	CD40LG
ENSMODG00000002721	INHBA
ENSMODG00000005067	TNFSF13B
ENSMODG00000018899	FGF2
ENSMODG00000018903	IL21
ENSMODG00000014856	TNFSF11
ENSMODG00000019182	IL8
ENSMODG00000019184	0
ENSMODG00000019188	0
ENSMODG00000029043	CXCL9
ENSMODG00000020613	AIMP1
ENSMODG00000021321	TNFSF10
ENSMODG00000014937	MIF
ENSMODG00000015710	WNT1
ENSMODG00000027463	CCL20
ENSMODG00000021197	SCG2
ENSMODG00000004373	0
ENSMODG00000000235	IL15
ENSMODG00000025165	IFN1
ENSMODG00000003667	IFN3
ENSMODG00000003683	0
ENSMODG00000003707	IFN5
ENSMODG00000025163	0
ENSMODG00000004309	IFN9
ENSMODG00000011361	IL12A
ENSMODG00000020515	KITLG
ENSMODG00000001699	CTF1
ENSMODG00000001703	CLCF1
ENSMODG00000025499	CCL19
ENSMODG00000015792	WNT2
ENSMODG00000021091	NDP
ENSMODG00000028865	IL7
ENSMODG00000008659	WNT7A
ENSMODG00000001265	IL6
ENSMODG00000010567	EDN1
ENSMODG00000012401	WNT5A
ENSMODG00000025565	0
ENSMODG00000014381	0
ENSMODG00000008206	IL17D
ENSMODG00000002060	TNFSF9
ENSMODG00000001954	CD70
ENSMODG00000002091	TNFSF14
ENSMODG00000003510	CRLF1
ENSMODG00000019395	IL16
ENSMODG00000002097	IL10
ENSMODG00000002115	IL20
ENSMODG00000009230	LIF
ENSMODG00000004432	IL25
ENSMODG00000023391	RPL13A
ENSMODG00000012994	CSF3
ENSMODG00000012951	BMP4
ENSMODG00000013956	IL5
ENSMODG00000008039	IL12B
ENSMODG00000005817	IL17B
ENSMODG00000025682	TNFSF13
ENSMODG00000007036	TNFSF12
ENSMODG00000019579	TNFSF15
ENSMODG00000019580	TNFSF8
ENSMODG00000025755	CCL17
ENSMODG00000015782	LTA
ENSMODG00000015780	TNF
ENSMODG00000015774	LTB
ENSMODG00000018824	IL17A
ENSMODG00000018823	IL17F
ENSMODG00000001827	CSF1
ENSMODG00000019113	0
ENSMODG00000025694	0
ENSMODG00000019114	0
ENSMODG00000025695	0
ENSMODG00000023198	0
ENSMODG00000019120	0
ENSMODG00000028122	0
ENSMODG00000019157	0
ENSMODG00000019159	0
ENSMODG00000019162	0
ENSMODG00000013707	0
ENSMODG00000002581	THPO
ENSMODG00000004230	IL17C
ENSMODG00000013821	IL1A
ENSMODG00000013815	IL1B
ENSMODG00000013808	0
ENSMODG00000013803	0
ENSMODG00000013799	0
ENSMODG00000013795	IL36RN
ENSMODG00000013791	IL1F10
ENSMODG00000025268	CXCL10
ENSMODG00000007865	CCL21
ENSMODG00000028064	CCL25
ENSMODG00000009971	CXCL12
ENSMODG00000002933	0
ENSMODG00000027516	0
ENSMODG00000014463	CXCL14
ENSMODG00000013515	CCL22
ENSMODG00000013516	CX3CL1
ENSMODG00000028688	0
ENSMODG00000019121	CCL5
