"Well","sample_ID","sample_name","sample","replicate_ID","target_name","Ct"
"E5","170712_13","d0_1","d0",1,"IL17A",34.59375763
"F5","170712_14","d0_2","d0",1,"IL17A",34.36763382
"G5","170712_15","d0_3","d0",1,"IL17A",34.48891068
"H5","170712_16","d0_4","d0",1,"IL17A",32.96252823
"A6","170712_17","d0_5","d0",1,"IL17A",33.95901489
"B6","170712_18","d0_6","d0",1,"IL17A",34.16885757
"C6","170712_19","d2_1","d2",1,"IL17A",32.74504471
"D6","170712_20","d2_2","d2",1,"IL17A",35.45379639
"E6","170712_21","d2_3","d2",1,"IL17A",35.16775513
"F6","170712_22","d2_4","d2",1,"IL17A",33.19010162
"G6","170712_23","d2_5","d2",1,"IL17A",33.94874191
"H6","170712_24","d2_6","d2",1,"IL17A",35.94260788
"G4","170712_7","stim_1","stim",1,"IL17A",31.72552681
"H4","170712_8","stim_2","stim",1,"IL17A",31.33728409
"A5","170712_9","stim_3","stim",1,"IL17A",32.68302917
"B5","170712_10","stim_4","stim",1,"IL17A",33.05391312
"C5","170712_11","stim_5","stim",1,"IL17A",32.46502686
"D5","170712_12","stim_6","stim",1,"IL17A",32.69342041
"A4","170712_1","unstim_1","unstim",1,"IL17A",33.46965408
"B4","170712_2","unstim_2","unstim",1,"IL17A",32.34093857
"C4","170712_3","unstim_3","unstim",1,"IL17A",34.04330063
"D4","170712_4","unstim_4","unstim",1,"IL17A",35.36150742
"E4","170712_5","unstim_5","unstim",1,"IL17A",33.27350998
"F4","170712_6","unstim_6","unstim",1,"IL17A",34.44500732
