"animal","dpc","TBP_quantity","IL17A_quantity","IL17AoverTBP","fc_overMG"
"14L4",0,1050.47,0,0,0
"14L5",0,3598.74,0,0,0
"14M8",0,1408.62,0,0,0
"14M4",8,1173.53,0,0,0
"14M5",8,444.21,23.76,0.053488215,3
"14M9",8,721.04,0,0,0
"15P7",11.5,612.76,0,0,0
"16S1",11.5,1191.7,10769.28,9.036905261,506.8540008
"15P8",12.5,703.28,19454.59,27.66265214,1551.518524
"16S2",12.5,1442.63,2203.08,1.527127538,85.65218732
"14N7",13.5,374.69,152016.05,405.7115215,22755.19128
"M1LT",13.5,779.08,236907.81,304.0866278,17055.34355
