"dnov_ensembl_gid","dnov_gene_name","dnov_NP_1","dnov_imp_1","dnov_imp_2"
"ENSDNOG00000000001","CERS3",23,0,3
"ENSDNOG00000000005","GOLGA1",634,166,224
"ENSDNOG00000000006","PI4KA",426,945,918
"ENSDNOG00000000007","SCAI",154,11,9
"ENSDNOG00000000011","KCND2",0,0,0
"ENSDNOG00000000017","",175,386,358
"ENSDNOG00000000021","CPB2",0,1,0
"ENSDNOG00000000026","HNRNPK",2477,6665,6461
"ENSDNOG00000000027","GPR56",753,9783,9221
"ENSDNOG00000000028","BDNF",42,23,8
"ENSDNOG00000000033","LAMB2",1525,4907,4456
"ENSDNOG00000000034","PRPF4B",7707,646,661
"ENSDNOG00000000036","",0,0,0
"ENSDNOG00000000042","",43,15,9
"ENSDNOG00000000045","SLMO1",0,18,33
"ENSDNOG00000000046","SPIRE1",48,100,100
"ENSDNOG00000000048","GALNT12",423,270,221
"ENSDNOG00000000049","PAQR6",22,43,64
"ENSDNOG00000000050","CCDC57",8,26,18
"ENSDNOG00000000051","SMG5",98,1073,1081
"ENSDNOG00000000054","TMEM79",7,211,180
"ENSDNOG00000000055","C1orf85",629,1679,1530
"ENSDNOG00000000057","CCT3",1760,2360,2204
"ENSDNOG00000000061","MCL1",19,865,754
"ENSDNOG00000000066","",1164,949,806
"ENSDNOG00000000067","GOLPH3L",322,280,269
"ENSDNOG00000000070","",0,0,0
"ENSDNOG00000000073","",6300,1574,1522
"ENSDNOG00000000074","ZNF451",478,66,73
"ENSDNOG00000000076","ZFAT",220,204,196
"ENSDNOG00000000079","",1380,1224,1286
"ENSDNOG00000000081","YDJC",0,123,64
"ENSDNOG00000000083","COTL1",0,161,145
"ENSDNOG00000000085","",3,444,386
"ENSDNOG00000000089","",0,0,0
"ENSDNOG00000000091","LPO",89,296,341
"ENSDNOG00000000093","COL4A4",1,0,0
"ENSDNOG00000000094","MPO",0,1,1
"ENSDNOG00000000095","SAP25",5,10,11
"ENSDNOG00000000096","LRCH4",68,413,428
"ENSDNOG00000000097","ANKRD42",139,117,126
"ENSDNOG00000000106","NHLRC2",251,57,57
"ENSDNOG00000000110","PORCN",55,117,114
"ENSDNOG00000000111","ADARB2",0,0,0
"ENSDNOG00000000112","CD44",748,7808,6231
"ENSDNOG00000000115","RAB8B",163,41,29
"ENSDNOG00000000116","SLC1A2",115,32,21
"ENSDNOG00000000119","PAMR1",125,13,8
"ENSDNOG00000000120","",518,1217,1169
"ENSDNOG00000000125","GHRL",0,0,0
"ENSDNOG00000000126","FABP9",0,0,0
"ENSDNOG00000000127","",172,731,717
"ENSDNOG00000000130","",799,481,428
"ENSDNOG00000000133","METTL15",52,36,30
"ENSDNOG00000000135","LSS",93,843,750
"ENSDNOG00000000138","USP6NL",280,654,646
"ENSDNOG00000000144","C10orf67",0,0,0
"ENSDNOG00000000145","",0,0,0
"ENSDNOG00000000147","KCNB1",23,0,0
"ENSDNOG00000000149","CNNM2",0,51,54
"ENSDNOG00000000151","NT5C2",350,383,322
"ENSDNOG00000000153","CLPB",148,99,102
"ENSDNOG00000000154","NUMBL",73,116,131
"ENSDNOG00000000156","ADCK4",297,520,531
"ENSDNOG00000000165","DSTYK",116,79,56
"ENSDNOG00000000166","STEAP2",61,2,2
"ENSDNOG00000000172","KLHDC8A",0,99,145
"ENSDNOG00000000175","TMEM260",194,139,127
"ENSDNOG00000000176","IL1RL1",35,11,8
"ENSDNOG00000000179","IKZF1",5,23,22
"ENSDNOG00000000181","CXorf66",0,0,0
"ENSDNOG00000000184","FAM149B1",526,235,181
"ENSDNOG00000000193","",72,259,257
"ENSDNOG00000000196","RUFY2",581,114,116
"ENSDNOG00000000200","PPP1R21",1142,691,654
"ENSDNOG00000000201","IGF2R",194,2909,2532
"ENSDNOG00000000202","OPRM1",0,0,0
"ENSDNOG00000000204","ANKRD29",77,552,457
"ENSDNOG00000000207","LRRC48",99,48,42
"ENSDNOG00000000208","ATPAF2",21,130,156
"ENSDNOG00000000210","",109,237,243
"ENSDNOG00000000214","CNRIP1",53,74,71
"ENSDNOG00000000215","HNRNPU",1838,4592,4630
"ENSDNOG00000000217","ERC2",73,12,10
"ENSDNOG00000000222","DACT1",23,22,9
"ENSDNOG00000000223","PGM1",271,511,473
"ENSDNOG00000000225","RGS18",103,49,77
"ENSDNOG00000000226","PODN",16,27,23
"ENSDNOG00000000228","CTDSPL2",706,141,125
"ENSDNOG00000000230","L3HYPDH",5,16,13
"ENSDNOG00000000232","JKAMP",2072,239,262
"ENSDNOG00000000234","",112,572,549
"ENSDNOG00000000239","CDH12",0,0,0
"ENSDNOG00000000240","UBTF",394,1174,1088
"ENSDNOG00000000243","",0,0,0
"ENSDNOG00000000247","GRAMD3",176,914,946
"ENSDNOG00000000252","CELF2",109,111,87
"ENSDNOG00000000255","TMEM246",139,174,139
"ENSDNOG00000000256","LONRF2",35,0,0
"ENSDNOG00000000258","E2F6",100,133,156
"ENSDNOG00000000259","PREP",935,2081,2089
"ENSDNOG00000000260","SRRM4",0,0,0
"ENSDNOG00000000262","ISM2",0,14,18
"ENSDNOG00000000263","KLHL20",1077,410,389
"ENSDNOG00000000264","IGFBP6",781,1403,1480
"ENSDNOG00000000267","UBE2O",0,319,286
"ENSDNOG00000000268","CLCN3",1406,481,563
"ENSDNOG00000000270","GPLD1",0,0,2
"ENSDNOG00000000274","DEAF1",93,292,254
"ENSDNOG00000000275","",27,34,61
"ENSDNOG00000000277","",0,3,8
"ENSDNOG00000000279","SCML4",4,0,0
"ENSDNOG00000000280","ZNF148",1903,152,179
"ENSDNOG00000000282","",39,200,159
"ENSDNOG00000000288","STXBP4",89,31,30
"ENSDNOG00000000289","ZNF501",69,20,23
"ENSDNOG00000000291","ASPRV1",0,0,0
"ENSDNOG00000000292","ADORA2B",245,17,19
"ENSDNOG00000000293","",10,9,1
"ENSDNOG00000000295","STX7",371,4189,4043
"ENSDNOG00000000297","KIAA1456",10,22,18
"ENSDNOG00000000298","ZBTB44",109,1556,1466
"ENSDNOG00000000304","ZNF48",16,651,544
"ENSDNOG00000000305","NSUN5",202,565,578
"ENSDNOG00000000310","UBL7",438,655,617
"ENSDNOG00000000312","PNPLA8",994,327,307
"ENSDNOG00000000313","JOSD2",152,653,616
"ENSDNOG00000000314","ASPDH",0,13,20
"ENSDNOG00000000315","LRRC4B",0,2,7
"ENSDNOG00000000319","",212,558,557
"ENSDNOG00000000320","PFDN4",132,33,36
"ENSDNOG00000000321","ABCC2",6,24,20
"ENSDNOG00000000330","SLC46A3",88,113,77
"ENSDNOG00000000332","AKIRIN1",19,342,365
"ENSDNOG00000000334","CDKN2B",0,17,14
"ENSDNOG00000000335","FAM228A",57,1,0
"ENSDNOG00000000337","ESYT1",515,2317,2325
"ENSDNOG00000000339","CYLC1",0,0,0
"ENSDNOG00000000340","ITSN2",1312,649,520
"ENSDNOG00000000342","CERCAM",326,764,747
"ENSDNOG00000000343","P4HA2",611,880,801
"ENSDNOG00000000347","",2232,2172,1907
"ENSDNOG00000000352","PAX9",0,14,12
"ENSDNOG00000000361","SPECC1",312,281,231
"ENSDNOG00000000363","",0,0,0
"ENSDNOG00000000365","ZNF438",30,90,79
"ENSDNOG00000000366","IPO4",260,809,778
"ENSDNOG00000000367","PLEKHG4",0,4,11
"ENSDNOG00000000368","SYT11",147,516,489
"ENSDNOG00000000369","RIT1",233,415,366
"ENSDNOG00000000370","KIAA0907",455,213,246
"ENSDNOG00000000371","CEP135",249,59,70
"ENSDNOG00000000373","",516,1853,1824
"ENSDNOG00000000374","HNF1A",0,11,9
"ENSDNOG00000000375","PDZK1",1,72,75
"ENSDNOG00000000376","C1orf87",96,4,1
"ENSDNOG00000000377","MEF2C",2615,121,108
"ENSDNOG00000000380","",0,0,0
"ENSDNOG00000000381","",894,2082,1965
"ENSDNOG00000000382","",382,56,82
"ENSDNOG00000000388","STX3",79,438,453
"ENSDNOG00000000391","STARD6",0,0,0
"ENSDNOG00000000393","",320,71,79
"ENSDNOG00000000394","C18orf54",95,13,13
"ENSDNOG00000000395","PAPSS2",390,436,455
"ENSDNOG00000000396","DUSP19",188,6,22
"ENSDNOG00000000399","PLEKHA7",177,1618,1545
"ENSDNOG00000000404","CHN2",278,607,479
"ENSDNOG00000000413","BCO1",0,0,0
"ENSDNOG00000000415","FIBP",0,2717,2436
"ENSDNOG00000000417","GAN",98,27,30
"ENSDNOG00000000419","",58,5,9
"ENSDNOG00000000420","",9,1,1
