"hsap_ensembl_gid","hsap_gene_name","diff_1","diff_2","undiff_1","undiff_2"
"ENSG00000000003","TSPAN6",2048,2170,2559,2793
"ENSG00000000005","TNMD",0,0,0,0
"ENSG00000000419","DPM1",1070,1002,1014,1167
"ENSG00000000457","SCYL3",418,424,348,432
"ENSG00000000460","C1orf112",212,237,252,299
"ENSG00000000938","FGR",1,2,1,1
"ENSG00000000971","CFH",22,30,0,1
"ENSG00000001036","FUCA2",6888,6875,3758,4157
"ENSG00000001084","GCLC",2811,2877,2769,3162
"ENSG00000001167","NFYA",1640,1583,2202,2368
"ENSG00000001460","STPG1",212,228,387,457
"ENSG00000001461","NIPAL3",3237,3331,2339,2349
"ENSG00000001497","LAS1L",1322,1307,1490,1526
"ENSG00000001561","ENPP4",0,0,0,0
"ENSG00000001617","SEMA3F",196,169,137,161
"ENSG00000001626","CFTR",14,7,0,0
"ENSG00000001629","ANKIB1",4042,4127,5510,5957
"ENSG00000001630","CYP51A1",135,145,257,266
"ENSG00000001631","KRIT1",1512,1526,1481,1574
"ENSG00000002016","RAD52",560,561,634,652
"ENSG00000002079","MYH16",7,3,2,10
"ENSG00000002330","BAD",518,527,674,680
"ENSG00000002549","LAP3",1314,1428,1770,1816
"ENSG00000002586","CD99",18899,19105,16982,17677
"ENSG00000002587","HS3ST1",0,0,2,1
"ENSG00000002726","AOC1",0,0,0,0
"ENSG00000002745","WNT16",3,2,4,1
"ENSG00000002746","HECW1",23,7,60,52
"ENSG00000002822","MAD1L1",800,767,1128,1055
"ENSG00000002834","LASP1",15268,15732,18559,19906
"ENSG00000002919","SNX11",649,666,703,782
"ENSG00000002933","TMEM176A",0,0,4,0
"ENSG00000003056","M6PR",2658,2663,2434,2585
"ENSG00000003096","KLHL13",3,1,4,6
"ENSG00000003137","CYP26B1",89,93,4,9
"ENSG00000003147","ICA1",87,71,12,24
"ENSG00000003249","DBNDD1",30,24,28,34
"ENSG00000003393","ALS2",1360,1398,2223,2244
"ENSG00000003400","CASP10",219,243,267,218
"ENSG00000003402","CFLAR",4623,4698,4711,5368
"ENSG00000003436","TFPI",21030,21330,4893,5451
"ENSG00000003509","NDUFAF7",818,782,664,756
"ENSG00000003756","RBM5",7222,7154,5137,5598
"ENSG00000003987","MTMR7",43,36,59,86
"ENSG00000003989","SLC7A2",241,234,762,798
"ENSG00000004059","ARF5",2043,2199,3204,3380
"ENSG00000004139","SARM1",374,437,425,468
"ENSG00000004142","POLDIP2",3302,3345,3814,3888
"ENSG00000004399","PLXND1",7283,7192,8791,8835
"ENSG00000004455","AK2",2614,2651,2727,2878
"ENSG00000004468","CD38",2,0,1,0
"ENSG00000004478","FKBP4",2200,2123,2594,2748
"ENSG00000004487","KDM1A",4779,5149,5207,5611
"ENSG00000004534","RBM6",5579,5711,4775,5123
"ENSG00000004660","CAMKK1",497,510,1377,1399
"ENSG00000004700","RECQL",2576,2605,2990,3423
"ENSG00000004766","CCDC132",886,947,1047,1168
"ENSG00000004776","HSPB6",26387,25925,2727,2664
"ENSG00000004777","ARHGAP33",307,299,413,357
"ENSG00000004779","NDUFAB1",840,832,766,782
"ENSG00000004799","PDK4",758,825,93,88
"ENSG00000004809","SLC22A16",0,0,0,0
"ENSG00000004838","ZMYND10",51,48,27,19
"ENSG00000004846","ABCB5",1,2,3,4
"ENSG00000004848","ARX",0,0,0,0
"ENSG00000004864","SLC25A13",437,436,632,797
"ENSG00000004866","ST7",1230,1141,1001,1163
"ENSG00000004897","CDC27",4401,4259,3977,4347
"ENSG00000004939","SLC4A1",4,0,0,0
"ENSG00000004948","CALCR",0,0,0,0
"ENSG00000004961","HCCS",1072,1072,1081,1173
"ENSG00000004975","DVL2",1763,1897,2354,2223
"ENSG00000005001","PRSS22",0,0,4,5
"ENSG00000005007","UPF1",4441,4313,4986,4953
"ENSG00000005020","SKAP2",850,800,1694,1879
"ENSG00000005022","SLC25A5",4551,4622,4777,4965
"ENSG00000005059","CCDC109B",142,171,272,304
"ENSG00000005073","HOXA11",3652,3741,1082,1195
"ENSG00000005075","POLR2J",481,470,712,749
"ENSG00000005100","DHX33",1285,1323,1462,1557
"ENSG00000005102","MEOX1",0,0,42,54
"ENSG00000005108","THSD7A",23,12,7,14
"ENSG00000005156","LIG3",1152,1164,1627,1621
