"hsap_ensembl_gid","hsap_gene_name","control_1","control_2","control_3","control_4","conditioned_1","conditioned_2","conditioned_3","conditioned_4"
"ENSG00000000003","TSPAN6",6,5,5,7,7,1,10,4
"ENSG00000000005","TNMD",0,0,0,0,0,0,0,0
"ENSG00000000419","DPM1",861,1155,520,958,1242,833,862,875
"ENSG00000000457","SCYL3",299,408,207,434,582,364,463,370
"ENSG00000000460","C1orf112",265,416,192,431,595,424,438,396
"ENSG00000000938","FGR",2,6,2,3,3,5,0,1
"ENSG00000000971","CFH",0,0,0,0,1,5,0,2
"ENSG00000001036","FUCA2",332,446,230,491,502,346,344,329
"ENSG00000001084","GCLC",1441,2137,1018,2278,2329,1597,1958,1610
"ENSG00000001167","NFYA",939,1780,712,1403,1381,869,936,825
"ENSG00000001460","STPG1",384,555,274,545,693,472,512,402
"ENSG00000001461","NIPAL3",3597,5358,2490,5481,6601,4247,4585,3748
"ENSG00000001497","LAS1L",516,757,431,719,1067,722,551,573
"ENSG00000001561","ENPP4",849,1435,514,1209,1276,802,1273,920
"ENSG00000001617","SEMA3F",3,8,0,2,12,8,2,1
"ENSG00000001626","CFTR",0,12,2,15,26,11,27,25
"ENSG00000001629","ANKIB1",1123,1661,836,1760,2752,1690,2478,1886
"ENSG00000001630","CYP51A1",370,705,266,591,569,386,290,250
"ENSG00000001631","KRIT1",219,352,154,263,510,365,426,382
"ENSG00000002016","RAD52",23,47,17,41,53,28,32,22
"ENSG00000002330","BAD",699,1159,531,1020,1030,650,521,539
"ENSG00000002549","LAP3",1881,2858,1487,3340,5359,3949,3532,3185
"ENSG00000002586","CD99",8329,13124,6191,11226,10478,7526,4701,5367
"ENSG00000002587","HS3ST1",1,0,5,6,18,10,4,8
"ENSG00000002726","AOC1",0,2,0,3,7,4,2,0
"ENSG00000002745","WNT16",1,0,0,4,0,0,3,0
"ENSG00000002746","HECW1",0,1,0,2,1,1,0,0
"ENSG00000002822","MAD1L1",578,937,438,789,790,551,385,342
"ENSG00000002834","LASP1",5397,8353,3997,7950,10082,6800,6152,5155
"ENSG00000002919","SNX11",410,579,312,560,665,428,362,379
"ENSG00000002933","TMEM176A",2,11,5,9,28,14,17,12
"ENSG00000003056","M6PR",2308,3747,1740,3584,3935,2767,2574,2297
"ENSG00000003096","KLHL13",16,39,12,25,43,27,33,24
"ENSG00000003137","CYP26B1",2,2,0,2,0,0,1,0
"ENSG00000003147","ICA1",38,62,18,45,60,51,56,29
"ENSG00000003249","DBNDD1",47,70,38,53,131,64,87,43
"ENSG00000003393","ALS2",284,459,204,458,530,379,413,334
"ENSG00000003400","CASP10",555,796,357,800,1171,700,756,726
"ENSG00000003402","CFLAR",7302,10277,5097,9863,12816,8778,10150,8589
"ENSG00000003436","TFPI",174,206,116,210,227,163,311,235
"ENSG00000003509","NDUFAF7",326,551,228,473,505,305,348,282
