"mdom_ensembl_gid","mdom_gene_name","mdom_NP_1","mdom_NP_2","mdom_NP_3","mdom_13.5dpc_1","mdom_13.5dpc_2"
"ENSMODG00000000001","0",2,2,2,0,0
"ENSMODG00000000002","RPL10A",7,6,6,1,1
"ENSMODG00000000003","0",0,2,2,0,0
"ENSMODG00000000005","PRKX",1230,1353,1591,387,385
"ENSMODG00000000006","C1orf106",912,1017,1606,1080,1513
"ENSMODG00000000008","0",3,3,6,2,2
"ENSMODG00000000011","PCDH9",23,43,18,2,12
"ENSMODG00000000012","SPOCK2",2267,2586,1478,817,2644
"ENSMODG00000000013","CLEC5A",6,8,3,1,3
"ENSMODG00000000014","0",0,0,0,0,0
"ENSMODG00000000015","0",0,0,0,0,1
"ENSMODG00000000016","0",0,0,0,0,0
"ENSMODG00000000018","SUN5",2,3,1,0,0
"ENSMODG00000000019","0",0,1,0,0,0
"ENSMODG00000000020","MXRA5",3409,2803,1581,58,471
"ENSMODG00000000021","0",77,100,100,172,94
"ENSMODG00000000022","0",321,390,328,275,244
"ENSMODG00000000023","0",1,0,0,0,0
"ENSMODG00000000026","CLCA2",18,10,4,27,8
"ENSMODG00000000029","0",0,0,0,6,9
"ENSMODG00000000031","ANAPC16",1051,1394,1507,681,577
"ENSMODG00000000032","BMPER",34,13,16,5,29
"ENSMODG00000000033","ARC",5,2,7,0,1
"ENSMODG00000000034","PCDH7",429,600,669,240,1818
"ENSMODG00000000035","DDIT4",1192,1186,2057,3501,1880
"ENSMODG00000000036","ARSH",30,26,11,22,4
"ENSMODG00000000038","LYPD2",2,1,0,0,0
"ENSMODG00000000040","PCDH18",1878,1832,1752,67,298
"ENSMODG00000000041","BPIFB6",4,7,7,0,0
"ENSMODG00000000042","THEM6",33,32,49,26,32
"ENSMODG00000000043","DNAJB12",1569,1795,2155,2468,2261
"ENSMODG00000000044","ARSE",333,311,416,849,717
"ENSMODG00000000048","0",0,0,0,0,0
"ENSMODG00000000049","ARSD",504,656,776,455,194
"ENSMODG00000000050","BPIFB3",2,0,4,0,2
"ENSMODG00000000052","MGA",3499,3673,3394,953,982
"ENSMODG00000000053","SLC7A11",16,19,26,9,2
"ENSMODG00000000054","MGAM",2,5,1,0,5
"ENSMODG00000000056","ODF2L",871,958,984,691,267
"ENSMODG00000000057","BPIFB4",0,0,1,3,3
"ENSMODG00000000058","NPSR1",0,0,0,1,0
