"ocun_ensembl_gid","ocun_gene_name","ocun_imp_1","ocun_imp_2","ocun_imp_3"
"ENSOCUG00000012231","",0,0,0
"ENSOCUG00000021536","BOK",321,398,377
"ENSOCUG00000021116","",0,0,0
"ENSOCUG00000011164","THAP4",233,239,219
"ENSOCUG00000002218","NPHP4",109,116,117
"ENSOCUG00000021604","ATG4B",214,212,222
"ENSOCUG00000023715","",0,0,0
"ENSOCUG00000015888","FBXO31",83,89,101
"ENSOCUG00000005955","DTYMK",68,74,67
"ENSOCUG00000009286","ZCCHC14",157,147,171
"ENSOCUG00000017547","CACNA1E",1,0,0
"ENSOCUG00000024916","ING5",11,25,34
"ENSOCUG00000022982","D2HGDH",100,84,108
"ENSOCUG00000025903","",0,0,0
"ENSOCUG00000024667","CEBPB",622,668,727
"ENSOCUG00000024984","",0,0,0
"ENSOCUG00000003870","FGF19",0,0,1
"ENSOCUG00000025043","",0,0,0
"ENSOCUG00000000648","",0,0,0
"ENSOCUG00000022970","MAP1LC3B",398,407,404
"ENSOCUG00000004955","GAL3ST2",7,7,7
"ENSOCUG00000026128","PPP1R16A",39,48,48
"ENSOCUG00000021920","NEU4",0,0,0
"ENSOCUG00000008973","ZER1",215,252,252
"ENSOCUG00000023626","FOXH1",2,1,0
"ENSOCUG00000022592","CATSPERD",2,3,2
"ENSOCUG00000008079","PDCD1",0,1,0
"ENSOCUG00000023225","CSF2RA",39,46,49
"ENSOCUG00000021815","KIFC2",24,37,40
"ENSOCUG00000029005","C1orf145",1,0,0
"ENSOCUG00000026272","",0,0,0
"ENSOCUG00000023302","",0,0,0
"ENSOCUG00000026197","CTSD",3603,3859,3988
"ENSOCUG00000024934","IBA57",61,84,78
"ENSOCUG00000007829","SLC17A9",17,19,20
"ENSOCUG00000026836","",0,0,0
"ENSOCUG00000024447","CXXC11",0,1,0
"ENSOCUG00000024517","GJC2",4,5,5
"ENSOCUG00000011442","",0,1,1
"ENSOCUG00000001290","SYT12",13,20,16
"ENSOCUG00000029360","",0,0,0
"ENSOCUG00000006273","ASPHD2",3,4,4
"ENSOCUG00000029066","TRPM2",1,3,5
"ENSOCUG00000022377","TAF4",79,82,70
"ENSOCUG00000027792","TMEM52",8,6,12
"ENSOCUG00000027935","GUK1",183,201,208
"ENSOCUG00000006284","HPS4",185,257,248
"ENSOCUG00000026172","UBE2V1",78,80,99
"ENSOCUG00000023746","",116,113,113
"ENSOCUG00000015313","COX20",7,4,1
"ENSOCUG00000027832","",20,13,24
"ENSOCUG00000016872","TBC1D13",259,265,256
"ENSOCUG00000022854","",0,0,0
"ENSOCUG00000025742","DMRTC2",0,0,0
"ENSOCUG00000024419","",103,107,101
"ENSOCUG00000023982","C19orf70",138,161,174
"ENSOCUG00000001946","",0,0,0
"ENSOCUG00000014628","SAFB",543,592,598
"ENSOCUG00000015380","",82,97,90
"ENSOCUG00000009545","",0,0,0
"ENSOCUG00000014029","SETD4",18,26,28
"ENSOCUG00000000306","CNPY4",101,104,120
"ENSOCUG00000025634","C1orf35",270,281,363
"ENSOCUG00000001508","CUZD1",0,0,0
"ENSOCUG00000027436","",0,0,0
"ENSOCUG00000007310","PUS1",123,127,134
"ENSOCUG00000021140","",0,0,0
"ENSOCUG00000023645","ARF1",118,137,136
"ENSOCUG00000021938","",121,139,167
"ENSOCUG00000017653","CBS",64,80,50
"ENSOCUG00000015070","ULK1",875,919,1011
"ENSOCUG00000021043","",0,0,0
"ENSOCUG00000024080","SH3BP1",112,120,107
"ENSOCUG00000024624","",38,31,31
"ENSOCUG00000021275","ENDOG",51,52,43
"ENSOCUG00000006293","SRRD",50,48,45
"ENSOCUG00000023479","TAF6",25,25,30
"ENSOCUG00000027184","CBR1",0,1,0
"ENSOCUG00000025051","",2,0,0
"ENSOCUG00000004048","WNT3A",30,12,22
"ENSOCUG00000015702","EPOR",11,18,18
"ENSOCUG00000021184","",3,7,4
"ENSOCUG00000006298","STIP",217,195,168
"ENSOCUG00000025317","PTP4A3",23,44,36
"ENSOCUG00000000243","INS",0,0,0
"ENSOCUG00000008745","PSTK",25,36,43
"ENSOCUG00000004922","PKN3",42,39,45
"ENSOCUG00000027409","",0,0,1
"ENSOCUG00000029118","",0,0,0
"ENSOCUG00000013340","IKZF5",18,22,21
"ENSOCUG00000023831","",0,1,1
