term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0002376,"immune system process",0.600%, 3.087,-2.298,4.886,-5.7447,0.987,0.000,2376,0
GO:0005975,"carbohydrate metabolic process",5.260%, 1.496,-2.561,5.829,-4.1198,0.966,0.000,5975,0
GO:0022603,"regulation of anatomical structure morphogenesis",0.830%,-6.976, 0.421,5.027,-6.2403,0.647,0.000,22603,0
GO:0022604,"regulation of cell morphogenesis",0.707%,null,null,4.958,-4.4067,0.569,0.896,22603,1
GO:0045597,"positive regulation of cell differentiation",0.168%,null,null,4.333,-3.3536,0.546,0.781,22603,1
GO:0045595,"regulation of cell differentiation",0.345%,null,null,4.645,-3.0830,0.628,0.835,22603,1
GO:0050793,"regulation of developmental process",1.205%,null,null,5.189,-5.3615,0.656,0.754,22603,1
GO:0010769,"regulation of cell morphogenesis involved in differentiation",0.055%,null,null,3.852,-3.0482,0.623,0.814,22603,1
GO:0022617,"extracellular matrix disassembly",0.007%,-0.948, 2.924,2.939,-6.4248,0.849,0.000,22617,0
GO:0030198,"extracellular matrix organization",0.060%,null,null,3.886,-4.8827,0.831,0.869,22617,1
GO:0040011,"locomotion",0.997%, 2.284,-4.103,5.107,-5.1018,0.987,0.000,40011,0
GO:0042221,"response to chemical",3.071%,-0.390,-6.732,5.595,-6.5528,0.806,0.000,42221,0
GO:0051179,"localization",18.495%, 1.630,-1.151,6.375,-3.2798,0.989,0.000,51179,0
GO:0030574,"collagen catabolic process",0.005%,-4.046, 6.178,2.836,-5.4134,0.795,0.042,30574,0
GO:0044243,"multicellular organismal catabolic process",0.006%,null,null,2.916,-5.0894,0.800,0.896,30574,1
GO:0044259,"multicellular organismal macromolecule metabolic process",0.012%,null,null,3.200,-4.4989,0.787,0.968,30574,1
GO:0032963,"collagen metabolic process",0.012%,null,null,3.181,-4.8210,0.787,0.953,30574,1
GO:0030203,"glycosaminoglycan metabolic process",0.805%, 5.156,-3.079,5.014,-3.9788,0.934,0.077,30203,0
GO:0006023,"aminoglycan biosynthetic process",0.576%,null,null,4.869,-3.1221,0.935,0.940,30203,1
GO:0005996,"monosaccharide metabolic process",0.817%, 3.308,-0.116,5.021,-4.4012,0.880,0.107,5996,0
GO:0019318,"hexose metabolic process",0.641%,null,null,4.915,-3.7011,0.882,0.734,5996,1
GO:0050900,"leukocyte migration",0.060%, 3.034, 3.393,3.890,-6.2248,0.745,0.110,50900,0
GO:0030334,"regulation of cell migration",0.144%,null,null,4.267,-4.7773,0.625,0.834,50900,1
GO:0042330,"taxis",0.480%,null,null,4.789,-4.5391,0.752,0.854,50900,1
GO:0045087,"innate immune response",0.148%,null,null,4.279,-3.5622,0.794,0.833,50900,1
GO:0051271,"negative regulation of cellular component movement",0.049%,null,null,3.801,-3.4389,0.644,0.900,50900,1
GO:0048870,"cell motility",0.633%,null,null,4.910,-3.9957,0.739,0.923,50900,1
GO:2000145,"regulation of cell motility",0.154%,null,null,4.296,-4.8069,0.626,0.979,50900,1
GO:0060326,"cell chemotaxis",0.060%,null,null,3.888,-3.0443,0.640,0.832,50900,1
GO:0006955,"immune response",0.337%,null,null,4.635,-3.4078,0.806,0.776,50900,1
GO:0006935,"chemotaxis",0.475%,null,null,4.785,-4.5391,0.725,0.816,50900,1
GO:0016477,"cell migration",0.293%,null,null,4.575,-5.4112,0.753,0.760,50900,1
GO:0001775,"cell activation",0.171%, 1.513, 5.302,4.341,-4.0894,0.871,0.136,1775,0
GO:0006721,"terpenoid metabolic process",0.260%, 0.583, 4.776,4.524,-4.0128,0.811,0.152,6721,0
GO:0016101,"diterpenoid metabolic process",0.017%,null,null,3.334,-3.5406,0.838,0.731,6721,1
