term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0002295,"T-helper cell lineage commitment",0.002%, 5.714,-2.988,2.470,-3.4449,0.705,0.000,2295,0
GO:0043207,"response to external biotic stimulus",0.300%,null,null,4.585,-4.1051,0.815,0.974,2295,1
GO:0045621,"positive regulation of lymphocyte differentiation",0.016%,null,null,3.313,-4.2933,0.564,0.809,2295,1
GO:0002682,"regulation of immune system process",0.252%,null,null,4.510,-4.3335,0.662,0.788,2295,1
GO:0051707,"response to other organism",0.299%,null,null,4.584,-4.1938,0.814,0.922,2295,1
GO:0046637,"regulation of alpha-beta T cell differentiation",0.009%,null,null,3.068,-3.4112,0.619,0.908,2295,1
GO:0002694,"regulation of leukocyte activation",0.086%,null,null,4.045,-3.4001,0.641,0.906,2295,1
GO:0050865,"regulation of cell activation",0.092%,-5.933, 4.093,4.071,-4.5834,0.692,0.720,2295,1
GO:0050867,"positive regulation of cell activation",0.054%,null,null,3.842,-3.1858,0.612,0.959,2295,1
GO:0002230,"positive regulation of defense response to virus by host",0.004%,null,null,2.750,-6.4547,0.630,0.795,2295,1
GO:0045619,"regulation of lymphocyte differentiation",0.028%,null,null,3.552,-3.4283,0.624,0.917,2295,1
GO:0043373,"CD4-positive, alpha-beta T cell lineage commitment",0.002%,null,null,2.473,-3.2373,0.774,0.991,2295,1
GO:0051607,"defense response to virus",0.098%,-3.933,-5.368,4.098,-8.5735,0.745,0.713,2295,1
GO:0009615,"response to virus",0.117%,null,null,4.175,-7.2933,0.825,0.847,2295,1
GO:0002831,"regulation of response to biotic stimulus",0.038%,null,null,3.683,-4.1221,0.648,0.764,2295,1
GO:0030888,"regulation of B cell proliferation",0.011%,null,null,3.167,-3.0580,0.682,0.792,2295,1
GO:0050688,"regulation of defense response to virus",0.019%,null,null,3.379,-6.1959,0.600,0.869,2295,1
GO:0098542,"defense response to other organism",0.220%,null,null,4.450,-4.2573,0.790,0.971,2295,1
GO:0050691,"regulation of defense response to virus by host",0.006%,null,null,2.909,-5.7258,0.622,0.871,2295,1
GO:0002376,"immune system process",0.600%,-1.177,-2.179,4.886,-4.7520,0.990,0.000,2376,0
GO:0006807,"nitrogen compound metabolic process",38.744%,-0.461,-6.000,6.696,-4.5214,0.962,0.000,6807,0
GO:0009987,"cellular process",63.780%,-1.287,-3.306,6.913,-3.7545,0.996,0.000,9987,0
GO:0016197,"endosomal transport",0.131%, 0.686, 2.165,4.225,-4.3487,0.967,0.000,16197,0
GO:0032502,"developmental process",2.812%, 0.698,-5.383,5.557,-3.0565,0.990,0.000,32502,0
GO:0051704,"multi-organism process",0.751%,-0.894,-6.745,4.984,-3.1568,0.990,0.000,51704,0
GO:0065007,"biological regulation",20.498%,-0.591,-1.504,6.420,-8.1675,0.992,0.000,65007,0
GO:0071840,"cellular component organization or biogenesis",8.568%,-1.126,-7.206,6.041,-4.3893,0.991,0.000,71840,0
GO:0048525,"negative regulation of viral process",0.015%, 4.872, 6.549,3.291,-6.5421,0.688,0.017,48525,0
GO:0043903,"regulation of symbiosis, encompassing mutualism through parasitism",0.039%,null,null,3.701,-4.1938,0.723,0.903,48525,1
GO:0043901,"negative regulation of multi-organism process",0.035%,null,null,3.656,-4.4685,0.688,0.852,48525,1
GO:1903900,"regulation of viral life cycle",0.030%,null,null,3.590,-4.1618,0.711,0.950,48525,1
GO:1903901,"negative regulation of viral life cycle",0.015%,null,null,3.280,-5.3507,0.687,0.911,48525,1
GO:0045069,"regulation of viral genome replication",0.014%,null,null,3.267,-4.7747,0.723,0.917,48525,1
GO:0045071,"negative regulation of viral genome replication",0.008%,null,null,3.007,-5.7144,0.699,0.963,48525,1
