term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0006413,"translational initiation",0.518%,-3.862, 6.557,4.823,-91.6576,0.781,0.000,6413,0
GO:0006414,"translational elongation",0.777%,null,null,4.999,-11.7258,0.773,0.534,6413,1
GO:0008150,"biological_process",100.000%,-0.817, 0.923,7.108,-4.4559,1.000,0.000,8150,0
GO:0008152,"metabolic process",75.387%, 0.206,-0.872,6.986,-22.9872,0.999,0.000,8152,0
GO:0009987,"cellular process",63.780%, 1.036, 1.080,6.913,-10.7055,0.998,0.000,9987,0
GO:0048002,"antigen processing and presentation of peptide antigen",0.013%, 2.471,-0.798,3.236,-3.4711,0.970,0.000,48002,0
GO:0002479,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",0.001%,null,null,1.892,-3.7190,0.971,0.896,48002,1
GO:0002478,"antigen processing and presentation of exogenous peptide antigen",0.004%,null,null,2.667,-3.6676,0.969,0.859,48002,1
GO:0002474,"antigen processing and presentation of peptide antigen via MHC class I",0.010%,null,null,3.098,-3.4283,0.969,0.916,48002,1
GO:0042590,"antigen processing and presentation of exogenous peptide antigen via MHC class I",0.001%,null,null,2.188,-3.5544,0.970,0.925,48002,1
GO:0019884,"antigen processing and presentation of exogenous antigen",0.005%,null,null,2.779,-3.4389,0.971,0.870,48002,1
GO:0051179,"localization",18.495%, 0.202, 0.208,6.375,-11.2644,0.995,0.000,51179,0
GO:0051704,"multi-organism process",0.751%,-2.817,-1.211,4.984,-29.1445,0.994,0.000,51704,0
GO:0070972,"protein localization to endoplasmic reticulum",0.187%, 0.756,-6.413,4.381,-86.0424,0.871,0.000,70972,0
GO:0015031,"protein transport",2.251%,null,null,5.461,-24.5719,0.872,0.885,70972,1
GO:0070727,"cellular macromolecule localization",1.561%,null,null,5.302,-30.7305,0.857,0.888,70972,1
GO:0033365,"protein localization to organelle",0.609%,null,null,4.893,-44.9066,0.864,0.815,70972,1
GO:0006886,"intracellular protein transport",1.199%,null,null,5.187,-39.1549,0.852,0.874,70972,1
GO:0046907,"intracellular transport",1.564%,null,null,5.302,-28.5884,0.862,0.937,70972,1
GO:0008104,"protein localization",2.626%,null,null,5.527,-20.5654,0.877,0.912,70972,1
GO:0072657,"protein localization to membrane",0.387%,null,null,4.696,-36.7352,0.676,0.817,70972,1
GO:0072655,"establishment of protein localization to mitochondrion",0.116%,null,null,4.172,-4.3429,0.873,0.792,70972,1
GO:0072599,"establishment of protein localization to endoplasmic reticulum",0.165%,null,null,4.326,-87.8356,0.869,0.965,70972,1
GO:0006605,"protein targeting",0.694%,null,null,4.949,-58.4828,0.858,0.730,70972,1
GO:0006612,"protein targeting to membrane",0.182%,null,null,4.367,-74.4283,0.689,0.871,70972,1
GO:0006626,"protein targeting to mitochondrion",0.108%,null,null,4.143,-3.6536,0.741,0.993,70972,1
GO:0006613,"cotranslational protein targeting to membrane",0.139%,null,null,4.253,-91.6073,0.694,0.957,70972,1
GO:0006614,"SRP-dependent cotranslational protein targeting to membrane",0.138%,null,null,4.249,-93.7033,0.689,0.788,70972,1
GO:0045047,"protein targeting to ER",0.164%,null,null,4.323,-90.6108,0.865,0.984,70972,1
GO:0072594,"establishment of protein localization to organelle",0.492%,null,null,4.801,-52.9706,0.860,0.875,70972,1
GO:0070585,"protein localization to mitochondrion",0.116%,null,null,4.174,-4.0150,0.875,0.778,70972,1
GO:0034613,"cellular protein localization",1.546%,null,null,5.297,-31.1858,0.852,0.953,70972,1
GO:0090150,"establishment of protein localization to membrane",0.358%,null,null,4.662,-58.9393,0.676,0.926,70972,1
GO:0051649,"establishment of localization in cell",1.679%,null,null,5.333,-27.9431,0.864,0.925,70972,1
GO:0045184,"establishment of protein localization",2.407%,null,null,5.490,-24.3969,0.874,0.943,70972,1
GO:0071840,"cellular component organization or biogenesis",8.568%,-3.587,-1.467,6.041,-6.6861,0.995,0.000,71840,0
GO:0009056,"catabolic process",4.820%, 1.429,-0.050,5.791,-28.6498,0.977,0.017,9056,0
GO:0009058,"biosynthetic process",31.611%,-1.003,-1.215,6.608,-15.4559,0.971,0.033,9058,0
GO:0033554,"cellular response to stress",2.967%, 6.402, 1.732,5.581,-8.4498,0.860,0.037,33554,0
GO:1900744,"regulation of p38MAPK cascade",0.006%,null,null,2.869,-3.3990,0.660,0.706,33554,1
GO:0061418,"regulation of transcription from RNA polymerase II promoter in response to hypoxia",0.003%,null,null,2.565,-4.7570,0.747,0.877,33554,1
GO:0000302,"response to reactive oxygen species",0.181%,null,null,4.367,-4.1238,0.916,0.826,33554,1
GO:0051716,"cellular response to stimulus",9.561%,null,null,6.089,-6.8633,0.869,0.680,33554,1
GO:0034976,"response to endoplasmic reticulum stress",0.100%,null,null,4.106,-4.6655,0.886,0.564,33554,1
GO:0036499,"PERK-mediated unfolded protein response",0.002%,null,null,2.471,-3.8570,0.814,0.862,33554,1
GO:0036498,"IRE1-mediated unfolded protein response",0.003%,null,null,2.558,-3.4597,0.812,0.872,33554,1
GO:0043620,"regulation of DNA-templated transcription in response to stress",0.027%,null,null,3.543,-5.5817,0.721,0.502,33554,1
GO:0043618,"regulation of transcription from RNA polymerase II promoter in response to stress",0.026%,null,null,3.526,-5.9355,0.719,0.500,33554,1
GO:0042221,"response to chemical",3.071%,null,null,5.595,-3.4685,0.926,0.562,33554,1
GO:0030968,"endoplasmic reticulum unfolded protein response",0.027%,null,null,3.548,-3.7799,0.787,0.637,33554,1
GO:0034599,"cellular response to oxidative stress",0.224%,null,null,4.458,-4.3354,0.871,0.612,33554,1
GO:0006979,"response to oxidative stress",0.575%,null,null,4.868,-5.5901,0.916,0.679,33554,1
GO:0006950,"response to stress",4.575%,null,null,5.769,-4.1079,0.923,0.559,33554,1
GO:0080135,"regulation of cellular response to stress",0.182%,null,null,4.368,-3.7190,0.777,0.599,33554,1
GO:0006457,"protein folding",0.903%, 0.451, 1.792,5.064,-6.5045,0.951,0.040,6457,0
GO:0022900,"electron transport chain",0.564%, 4.828,-3.044,4.860,-15.3372,0.822,0.057,22900,0
GO:0046390,"ribose phosphate biosynthetic process",1.778%,null,null,5.358,-3.4179,0.802,0.872,22900,1
GO:0009060,"aerobic respiration",0.618%,null,null,4.899,-8.1221,0.817,0.905,22900,1
GO:0045333,"cellular respiration",0.984%,null,null,5.101,-7.5100,0.811,0.859,22900,1
GO:1905448,"positive regulation of mitochondrial ATP synthesis coupled electron transport",0.001%,null,null,2.072,-3.3925,0.701,0.685,22900,1
GO:0009117,"nucleotide metabolic process",4.166%,null,null,5.728,-4.0660,0.688,0.877,22900,1
GO:0009124,"nucleoside monophosphate biosynthetic process",1.486%,null,null,5.280,-5.2291,0.696,0.862,22900,1
GO:0009123,"nucleoside monophosphate metabolic process",2.367%,null,null,5.482,-5.7144,0.706,0.755,22900,1
GO:0009126,"purine nucleoside monophosphate metabolic process",1.916%,null,null,5.391,-5.7799,0.703,0.944,22900,1
GO:0009127,"purine nucleoside monophosphate biosynthetic process",1.044%,null,null,5.127,-5.4584,0.703,0.939,22900,1
GO:0006163,"purine nucleotide metabolic process",2.435%,null,null,5.495,-3.8962,0.687,0.945,22900,1
GO:0006164,"purine nucleotide biosynthetic process",1.409%,null,null,5.257,-3.4353,0.688,0.905,22900,1
GO:0009145,"purine nucleoside triphosphate biosynthetic process",0.485%,null,null,4.794,-4.0173,0.717,0.929,22900,1
GO:0009144,"purine nucleoside triphosphate metabolic process",1.401%,null,null,5.255,-5.5114,0.708,0.957,22900,1
GO:0009141,"nucleoside triphosphate metabolic process",1.605%,null,null,5.314,-4.6819,0.717,0.771,22900,1
GO:0009156,"ribonucleoside monophosphate biosynthetic process",1.394%,null,null,5.253,-5.8928,0.696,0.757,22900,1
GO:0009150,"purine ribonucleotide metabolic process",2.353%,null,null,5.480,-3.5918,0.686,0.810,22900,1
GO:0009161,"ribonucleoside monophosphate metabolic process",2.267%,null,null,5.464,-6.3152,0.698,0.944,22900,1
GO:0009167,"purine ribonucleoside monophosphate metabolic process",1.915%,null,null,5.390,-5.8268,0.701,0.900,22900,1
GO:0009168,"purine ribonucleoside monophosphate biosynthetic process",1.043%,null,null,5.127,-5.4584,0.702,0.939,22900,1
GO:0006754,"ATP biosynthetic process",0.432%,null,null,4.743,-4.2765,0.703,0.864,22900,1
GO:0006753,"nucleoside phosphate metabolic process",4.207%,null,null,5.732,-3.9355,0.693,0.903,22900,1
GO:0046034,"ATP metabolic process",1.263%,null,null,5.210,-5.1427,0.689,0.971,22900,1
GO:0015986,"ATP synthesis coupled proton transport",0.411%,null,null,4.722,-3.8182,0.646,0.970,22900,1
GO:0009201,"ribonucleoside triphosphate biosynthetic process",0.577%,null,null,4.869,-3.6556,0.713,0.954,22900,1
GO:0015980,"energy derivation by oxidation of organic compounds",1.175%,null,null,5.178,-5.9031,0.811,0.804,22900,1
GO:0009199,"ribonucleoside triphosphate metabolic process",1.458%,null,null,5.272,-5.5607,0.707,0.954,22900,1
GO:0009205,"purine ribonucleoside triphosphate metabolic process",1.366%,null,null,5.244,-5.8570,0.708,0.605,22900,1
GO:0009206,"purine ribonucleoside triphosphate biosynthetic process",0.485%,null,null,4.794,-4.0958,0.716,0.984,22900,1
GO:0009259,"ribonucleotide metabolic process",2.752%,null,null,5.548,-3.5800,0.697,0.923,22900,1
GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",0.007%,null,null,2.929,-7.4318,0.770,0.522,22900,1
GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",0.035%,null,null,3.652,-6.1656,0.745,0.827,22900,1
GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",0.019%,null,null,3.386,-4.7122,0.755,0.880,22900,1
GO:0019646,"aerobic electron transport chain",0.042%,null,null,3.726,-7.4318,0.848,0.769,22900,1
GO:0022904,"respiratory electron transport chain",0.367%,null,null,4.673,-13.9706,0.823,0.717,22900,1
GO:0019693,"ribose phosphate metabolic process",3.032%,null,null,5.590,-3.9355,0.819,0.672,22900,1
GO:0072522,"purine-containing compound biosynthetic process",1.502%,null,null,5.285,-3.4179,0.808,0.887,22900,1
GO:0006091,"generation of precursor metabolites and energy",1.940%,-2.736, 1.372,5.396,-11.8794,0.921,0.065,6091,0
GO:1901360,"organic cyclic compound metabolic process",30.324%,-3.807, 2.090,6.590,-16.7282,0.930,0.069,1901360,0
GO:0044237,"cellular metabolic process",53.061%,-6.603,-1.661,6.833,-27.1772,0.913,0.078,44237,0
GO:0006807,"nitrogen compound metabolic process",38.744%, 3.106,-1.203,6.696,-15.8356,0.970,0.088,6807,0
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",0.030%,-3.696, 4.636,3.588,-77.6799,0.775,0.106,184,0
GO:0061013,"regulation of mRNA catabolic process",0.010%,null,null,3.096,-3.9830,0.693,0.698,184,1
GO:0009057,"macromolecule catabolic process",1.953%,null,null,5.399,-44.4789,0.816,0.700,184,1
GO:0043161,"proteasome-mediated ubiquitin-dependent protein catabolic process",0.226%,null,null,4.462,-8.4698,0.756,0.811,184,1
GO:0044248,"cellular catabolic process",3.266%,null,null,5.622,-34.0101,0.806,0.785,184,1
GO:0044270,"cellular nitrogen compound catabolic process",1.045%,null,null,5.127,-51.8665,0.781,0.726,184,1
GO:0044265,"cellular macromolecule catabolic process",1.268%,null,null,5.211,-52.5171,0.768,0.779,184,1
GO:0000956,"nuclear-transcribed mRNA catabolic process",0.137%,null,null,4.244,-69.6459,0.749,0.871,184,1
GO:1901575,"organic substance catabolic process",4.612%,null,null,5.772,-31.5258,0.828,0.888,184,1
GO:0019941,"modification-dependent protein catabolic process",0.612%,null,null,4.895,-7.4191,0.737,0.985,184,1
GO:0043632,"modification-dependent macromolecule catabolic process",0.627%,null,null,4.905,-7.5952,0.774,0.817,184,1
GO:1901565,"organonitrogen compound catabolic process",1.195%,null,null,5.186,-4.9788,0.794,0.702,184,1
GO:0019439,"aromatic compound catabolic process",1.164%,null,null,5.174,-51.2765,0.780,0.734,184,1
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",0.318%,null,null,4.610,-6.8153,0.820,0.995,184,1
GO:0000375,"RNA splicing, via transesterification reactions",0.320%,null,null,4.613,-6.6108,0.820,0.950,184,1
GO:0000398,"mRNA splicing, via spliceosome",0.315%,null,null,4.607,-6.8153,0.806,0.691,184,1
GO:1903311,"regulation of mRNA metabolic process",0.044%,null,null,3.755,-3.8356,0.753,0.711,184,1
GO:0010498,"proteasomal protein catabolic process",0.267%,null,null,4.535,-8.6091,0.755,0.753,184,1
GO:0030163,"protein catabolic process",0.997%,null,null,5.107,-7.1656,0.780,0.860,184,1
GO:0046700,"heterocycle catabolic process",1.044%,null,null,5.127,-52.1029,0.782,0.523,184,1
GO:0006402,"mRNA catabolic process",0.232%,null,null,4.475,-66.9747,0.740,0.835,184,1
GO:0006401,"RNA catabolic process",0.395%,null,null,4.705,-65.4597,0.738,0.710,184,1
GO:0006397,"mRNA processing",0.561%,null,null,4.857,-6.0110,0.801,0.876,184,1
GO:0051603,"proteolysis involved in cellular protein catabolic process",0.759%,null,null,4.988,-6.4737,0.734,0.963,184,1
GO:1901361,"organic cyclic compound catabolic process",1.164%,null,null,5.174,-48.0083,0.812,0.640,184,1
GO:0006511,"ubiquitin-dependent protein catabolic process",0.584%,null,null,4.874,-7.5800,0.738,0.902,184,1
GO:0031146,"SCF-dependent proteasomal ubiquitin-dependent protein catabolic process",0.022%,null,null,3.447,-5.2426,0.792,0.814,184,1
GO:0031145,"anaphase-promoting complex-dependent catabolic process",0.021%,null,null,3.421,-11.8962,0.793,0.520,184,1
GO:0034655,"nucleobase-containing compound catabolic process",0.760%,null,null,4.989,-54.7799,0.764,0.867,184,1
GO:0010605,"negative regulation of macromolecule metabolic process",1.169%, 2.427, 7.156,5.176,-18.5607,0.709,0.116,10605,0
GO:0032269,"negative regulation of cellular protein metabolic process",0.423%,null,null,4.734,-3.9431,0.650,0.905,10605,1
GO:0031331,"positive regulation of cellular catabolic process",0.058%,null,null,3.870,-4.5735,0.695,0.940,10605,1
GO:0031329,"regulation of cellular catabolic process",0.093%,null,null,4.078,-5.6925,0.714,0.947,10605,1
GO:0051248,"negative regulation of protein metabolic process",0.435%,null,null,4.747,-4.2899,0.675,0.874,10605,1
