"mdom_ensembl_gid","mdom_feature_length"
"ENSMODG00000000001",236
"ENSMODG00000000002",447
"ENSMODG00000000003",717
"ENSMODG00000000005",4461
"ENSMODG00000000006",3506
"ENSMODG00000000008",1014
"ENSMODG00000000011",3894
"ENSMODG00000000012",2238
"ENSMODG00000000013",803
"ENSMODG00000000014",459
"ENSMODG00000000015",1826
"ENSMODG00000000016",924
"ENSMODG00000000018",590
"ENSMODG00000000019",1290
"ENSMODG00000000020",12244
"ENSMODG00000000021",681
"ENSMODG00000000022",4269
"ENSMODG00000000023",651
"ENSMODG00000000026",3209
"ENSMODG00000000029",807
"ENSMODG00000000031",362
"ENSMODG00000000032",3031
"ENSMODG00000000033",1287
"ENSMODG00000000034",5739
"ENSMODG00000000035",1907
"ENSMODG00000000036",2392
"ENSMODG00000000038",524
"ENSMODG00000000040",5177
"ENSMODG00000000041",1363.5
"ENSMODG00000000042",997
"ENSMODG00000000043",3990
"ENSMODG00000000044",2571
"ENSMODG00000000048",6481
"ENSMODG00000000049",3325
"ENSMODG00000000050",1438.5
"ENSMODG00000000052",14262
"ENSMODG00000000053",5037
"ENSMODG00000000054",5866
"ENSMODG00000000056",2275
"ENSMODG00000000057",2132
"ENSMODG00000000058",970
"ENSMODG00000000060",6538
"ENSMODG00000000063",720
"ENSMODG00000000065",2210
"ENSMODG00000000067",1995
"ENSMODG00000000068",3360
"ENSMODG00000000074",1745
"ENSMODG00000000076",1970
"ENSMODG00000000077",654
"ENSMODG00000000079",4306
"ENSMODG00000000081",609
"ENSMODG00000000082",2835
"ENSMODG00000000083",2658
"ENSMODG00000000084",738
"ENSMODG00000000085",1947
"ENSMODG00000000086",1080
"ENSMODG00000000087",2576
"ENSMODG00000000088",3100
"ENSMODG00000000089",1947
"ENSMODG00000000090",2149
"ENSMODG00000000092",2652
"ENSMODG00000000094",2588
"ENSMODG00000000095",5519
"ENSMODG00000000097",1839
"ENSMODG00000000098",231
"ENSMODG00000000099",3546
"ENSMODG00000000101",906
"ENSMODG00000000102",2124
"ENSMODG00000000104",6198
"ENSMODG00000000105",2198
"ENSMODG00000000106",630
"ENSMODG00000000107",6800
