"ocun_ensembl_gid","ocun_feature_length"
"ENSOCUG00000000001",1343
"ENSOCUG00000000003",1842
"ENSOCUG00000000004",5827
"ENSOCUG00000000005",1647
"ENSOCUG00000000006",3259
"ENSOCUG00000000007",474
"ENSOCUG00000000008",1767
"ENSOCUG00000000009",715.5
"ENSOCUG00000000010",2409
"ENSOCUG00000000012",1428
"ENSOCUG00000000013",1597
"ENSOCUG00000000014",758
"ENSOCUG00000000015",3311
"ENSOCUG00000000016",1686
"ENSOCUG00000000017",6538
"ENSOCUG00000000018",558
"ENSOCUG00000000020",6015
"ENSOCUG00000000021",4039
"ENSOCUG00000000022",1567
"ENSOCUG00000000023",2148
"ENSOCUG00000000024",2433
"ENSOCUG00000000025",7126
"ENSOCUG00000000026",1758
"ENSOCUG00000000028",1884
"ENSOCUG00000000030",2595
"ENSOCUG00000000031",969
"ENSOCUG00000000032",5363
"ENSOCUG00000000034",4250
"ENSOCUG00000000036",1008
"ENSOCUG00000000038",2284
"ENSOCUG00000000040",687
"ENSOCUG00000000041",1702
"ENSOCUG00000000044",939
"ENSOCUG00000000045",2817
"ENSOCUG00000000046",792
"ENSOCUG00000000049",4492
"ENSOCUG00000000051",9051
"ENSOCUG00000000052",915
"ENSOCUG00000000054",681
"ENSOCUG00000000055",1293
"ENSOCUG00000000057",9873
"ENSOCUG00000000059",3165
"ENSOCUG00000000060",3536
"ENSOCUG00000000061",2153
"ENSOCUG00000000063",1143
"ENSOCUG00000000064",1102
"ENSOCUG00000000065",768
"ENSOCUG00000000066",1608
"ENSOCUG00000000068",5321
"ENSOCUG00000000069",4485
"ENSOCUG00000000070",1089
"ENSOCUG00000000071",7239
"ENSOCUG00000000072",1876
"ENSOCUG00000000073",2080.5
"ENSOCUG00000000074",771
"ENSOCUG00000000075",1011
"ENSOCUG00000000076",6306
"ENSOCUG00000000077",1164
"ENSOCUG00000000078",1574
"ENSOCUG00000000079",802
"ENSOCUG00000000080",1388
"ENSOCUG00000000081",7232
"ENSOCUG00000000083",1440
