"dnov_ensembl_gid","dnov_feature_length"
"ENSDNOG00000000001",1014
"ENSDNOG00000000005",2361
"ENSDNOG00000000006",8503
"ENSDNOG00000000007",1593
"ENSDNOG00000000011",1119
"ENSDNOG00000000017",2721
"ENSDNOG00000000021",1478
"ENSDNOG00000000026",1503
"ENSDNOG00000000027",3561
"ENSDNOG00000000028",984
"ENSDNOG00000000033",7387
"ENSDNOG00000000034",7434
"ENSDNOG00000000036",954
"ENSDNOG00000000042",1389
"ENSDNOG00000000045",516
"ENSDNOG00000000046",2107.5
"ENSDNOG00000000048",3580
"ENSDNOG00000000049",1035
"ENSDNOG00000000050",1380
"ENSDNOG00000000051",3039
"ENSDNOG00000000054",2206
"ENSDNOG00000000055",1609
"ENSDNOG00000000057",2354
"ENSDNOG00000000061",1053
"ENSDNOG00000000066",1023
"ENSDNOG00000000067",1099
"ENSDNOG00000000070",1212
"ENSDNOG00000000073",956
"ENSDNOG00000000074",3180
"ENSDNOG00000000076",3955
"ENSDNOG00000000079",354
"ENSDNOG00000000081",531
"ENSDNOG00000000083",303
"ENSDNOG00000000085",2533.5
"ENSDNOG00000000089",568.5
"ENSDNOG00000000091",3433
"ENSDNOG00000000093",5182
"ENSDNOG00000000094",2351
"ENSDNOG00000000095",531
"ENSDNOG00000000096",2076
"ENSDNOG00000000097",2181
"ENSDNOG00000000106",2322
"ENSDNOG00000000110",1859
"ENSDNOG00000000111",2175
"ENSDNOG00000000112",1826
"ENSDNOG00000000115",624
"ENSDNOG00000000116",2023.5
"ENSDNOG00000000119",2328
"ENSDNOG00000000120",3049
"ENSDNOG00000000125",285
"ENSDNOG00000000126",368
"ENSDNOG00000000127",1107
"ENSDNOG00000000130",1050
"ENSDNOG00000000133",1814
"ENSDNOG00000000135",3584
"ENSDNOG00000000138",1988.5
"ENSDNOG00000000144",849
"ENSDNOG00000000145",1026
"ENSDNOG00000000147",2694
"ENSDNOG00000000149",1080
"ENSDNOG00000000151",1872.5
"ENSDNOG00000000153",2124
"ENSDNOG00000000154",3716
"ENSDNOG00000000156",1875
"ENSDNOG00000000165",2796
"ENSDNOG00000000166",1570
"ENSDNOG00000000172",1053
"ENSDNOG00000000175",2211
"ENSDNOG00000000176",4257
"ENSDNOG00000000179",1728
"ENSDNOG00000000181",1104
"ENSDNOG00000000184",4178
"ENSDNOG00000000193",765
"ENSDNOG00000000196",1731.5
"ENSDNOG00000000200",3472
"ENSDNOG00000000201",7606
"ENSDNOG00000000202",1458
"ENSDNOG00000000204",1468
"ENSDNOG00000000207",2058
"ENSDNOG00000000208",1076
"ENSDNOG00000000210",834
"ENSDNOG00000000214",535
"ENSDNOG00000000215",2431
"ENSDNOG00000000217",3219
"ENSDNOG00000000222",2535
"ENSDNOG00000000223",3003
"ENSDNOG00000000225",975
"ENSDNOG00000000226",2268
"ENSDNOG00000000228",1425
"ENSDNOG00000000230",1065
"ENSDNOG00000000232",1729
"ENSDNOG00000000234",3896
"ENSDNOG00000000239",2820
"ENSDNOG00000000240",2188
"ENSDNOG00000000243",1596
"ENSDNOG00000000247",2512
"ENSDNOG00000000252",1782.5
"ENSDNOG00000000255",1212
"ENSDNOG00000000256",1581
"ENSDNOG00000000258",1333
"ENSDNOG00000000259",3286
"ENSDNOG00000000260",2481
"ENSDNOG00000000262",1299
"ENSDNOG00000000263",3553
"ENSDNOG00000000264",714
"ENSDNOG00000000267",2809.5
"ENSDNOG00000000268",5254
"ENSDNOG00000000270",2969
"ENSDNOG00000000274",2772
"ENSDNOG00000000275",993
"ENSDNOG00000000277",6015
"ENSDNOG00000000279",1242
"ENSDNOG00000000280",2629
"ENSDNOG00000000282",846
"ENSDNOG00000000288",1753
"ENSDNOG00000000289",813
"ENSDNOG00000000291",1041
"ENSDNOG00000000292",765
"ENSDNOG00000000293",432
"ENSDNOG00000000295",1399
"ENSDNOG00000000297",1792
"ENSDNOG00000000298",2517
"ENSDNOG00000000304",1812
"ENSDNOG00000000305",1449
"ENSDNOG00000000310",1236
"ENSDNOG00000000312",2594
"ENSDNOG00000000313",1238
"ENSDNOG00000000314",1724
"ENSDNOG00000000315",1464
"ENSDNOG00000000319",1251
"ENSDNOG00000000320",405
"ENSDNOG00000000321",8633
"ENSDNOG00000000330",3275
"ENSDNOG00000000332",579
"ENSDNOG00000000334",462
"ENSDNOG00000000335",1156
"ENSDNOG00000000337",3392
"ENSDNOG00000000339",1929
"ENSDNOG00000000340",9408.5
"ENSDNOG00000000342",3613
"ENSDNOG00000000343",1738.5
"ENSDNOG00000000347",2912
"ENSDNOG00000000352",1224
"ENSDNOG00000000361",3318
"ENSDNOG00000000363",2235
"ENSDNOG00000000365",2346
"ENSDNOG00000000366",6002
"ENSDNOG00000000367",4318
"ENSDNOG00000000368",1262
"ENSDNOG00000000369",900
"ENSDNOG00000000370",1836
"ENSDNOG00000000371",3698
"ENSDNOG00000000373",1835
"ENSDNOG00000000374",1833
"ENSDNOG00000000375",1684
"ENSDNOG00000000376",4960
"ENSDNOG00000000377",2249
"ENSDNOG00000000380",825
"ENSDNOG00000000381",573
"ENSDNOG00000000382",1013
"ENSDNOG00000000388",993
"ENSDNOG00000000391",675
"ENSDNOG00000000393",1311
"ENSDNOG00000000394",1792
"ENSDNOG00000000395",1878
"ENSDNOG00000000396",855
"ENSDNOG00000000399",6547
"ENSDNOG00000000404",2219
"ENSDNOG00000000413",2138
"ENSDNOG00000000415",1160
"ENSDNOG00000000417",1914
"ENSDNOG00000000419",2130
"ENSDNOG00000000420",1417
"ENSDNOG00000000421",489
"ENSDNOG00000000424",3455
"ENSDNOG00000000425",3404
"ENSDNOG00000000426",2504
"ENSDNOG00000000427",3296
"ENSDNOG00000000428",5810
"ENSDNOG00000000432",1552
"ENSDNOG00000000434",3248
"ENSDNOG00000000439",666
"ENSDNOG00000000440",4218
"ENSDNOG00000000442",4446
"ENSDNOG00000000443",1375
"ENSDNOG00000000444",1806
"ENSDNOG00000000445",2302
"ENSDNOG00000000446",714
"ENSDNOG00000000448",2808
"ENSDNOG00000000449",1229
"ENSDNOG00000000450",1980
"ENSDNOG00000000451",1341.5
"ENSDNOG00000000452",489
"ENSDNOG00000000456",2894.5
"ENSDNOG00000000458",10871
"ENSDNOG00000000459",585
"ENSDNOG00000000461",1032
"ENSDNOG00000000463",2941.5
"ENSDNOG00000000464",4613
"ENSDNOG00000000465",1275
"ENSDNOG00000000466",1512
"ENSDNOG00000000467",5043
"ENSDNOG00000000468",465
"ENSDNOG00000000477",1308
"ENSDNOG00000000478",3034
"ENSDNOG00000000479",546
"ENSDNOG00000000480",672
"ENSDNOG00000000481",714
"ENSDNOG00000000482",939
"ENSDNOG00000000483",636
