"mdom_ensembl_gid","mdom_gene_name","dnov_ensembl_gid","dnov_gene_name","dnov_homology_type","ocun_ensembl_gid","ocun_gene_name","ocun_homology_type"
"ENSMODG00000021566","NADH2","ENSDNOG00000034540","MT-ND2","ortholog_one2one","ENSOCUG00000029090","MT-ND2","ortholog_one2one"
"ENSMODG00000021572","COI","ENSDNOG00000045117","MT-CO1","ortholog_one2one","ENSOCUG00000029096","MT-CO1","ortholog_one2one"
"ENSMODG00000021575","COII","ENSDNOG00000041060","MT-CO2","ortholog_one2one","ENSOCUG00000029099","MT-CO2","ortholog_one2one"
"ENSMODG00000021579","COIII","ENSDNOG00000038856","MT-CO3","ortholog_one2one","ENSOCUG00000029103","MT-CO3","ortholog_one2one"
"ENSMODG00000021581","NADH3","ENSDNOG00000047358","MT-ND3","ortholog_one2one","ENSOCUG00000029105","MT-ND3","ortholog_one2one"
"ENSMODG00000021584","NADH4","ENSDNOG00000036640","MT-ND4","ortholog_one2one","ENSOCUG00000029108","MT-ND4","ortholog_one2one"
"ENSMODG00000021588","ND5","ENSDNOG00000046561","MT-ND5","ortholog_one2one","ENSOCUG00000029112","MT-ND5","ortholog_one2one"
"ENSMODG00000021591","CYTB","ENSDNOG00000048587","MT-CYB","ortholog_one2one","ENSOCUG00000029115","MT-CYB","ortholog_one2one"
"ENSMODG00000008763","DNASE1L1","ENSDNOG00000045597","AD_M006_JSM91252R","ortholog_one2one","ENSOCUG00000015910","RA_M006_JSM824E4R","ortholog_one2one"
"ENSMODG00000008869","ATP6AP1","ENSDNOG00000015526","ATP6AP1","ortholog_one2one","ENSOCUG00000017631","ATP6AP1","ortholog_one2one"
"ENSMODG00000008798","GDI1","ENSDNOG00000040963","GDI1","ortholog_one2one","ENSOCUG00000017639","GDI1","ortholog_one2one"
"ENSMODG00000008980","PLXNA3","ENSDNOG00000025707","PLXNA3","ortholog_one2one","ENSOCUG00000015623","PLXNA3","ortholog_one2one"
"ENSMODG00000008997","UBL4A","ENSDNOG00000002769","UBL4A","ortholog_one2one","ENSOCUG00000022433","UBL4A","ortholog_one2one"
"ENSMODG00000009016","FAM3A","ENSDNOG00000006532","AD_M006_JSMAF5CAR","ortholog_one2one","ENSOCUG00000015663","FAM3A","ortholog_one2one"
"ENSMODG00000009154","G6PD","ENSDNOG00000010727","G6PD","ortholog_one2one","ENSOCUG00000007866","G6PD","ortholog_one2one"
"ENSMODG00000009175","IKBKG","ENSDNOG00000010758","IKBKG","ortholog_one2one","ENSOCUG00000007873","IKBKG","ortholog_one2one"
"ENSMODG00000009236","GAB3","ENSDNOG00000044955","GAB3","ortholog_one2one","ENSOCUG00000001360","GAB3","ortholog_one2one"
"ENSMODG00000009243","DKC1","ENSDNOG00000004218","DKC1","ortholog_one2one","ENSOCUG00000012646","DKC1","ortholog_one2one"
"ENSMODG00000009267","MPP1","ENSDNOG00000004231","MPP1","ortholog_one2one","ENSOCUG00000012660","MPP1","ortholog_one2one"
"ENSMODG00000009313","F8","ENSDNOG00000013018","F8","ortholog_one2one","ENSOCUG00000000142","F8","ortholog_one2one"
"ENSMODG00000006132","TMLHE","ENSDNOG00000016400","TMLHE","ortholog_one2one","ENSOCUG00000008669","TMLHE","ortholog_one2one"
"ENSMODG00000025401","SPRY3","ENSDNOG00000000635","SPRY3","ortholog_one2one","ENSOCUG00000022218","SPRY3","ortholog_one2one"
"ENSMODG00000006160","VAMP7","ENSDNOG00000037896","VAMP7","ortholog_one2one","ENSOCUG00000001270","VAMP7","ortholog_one2one"
"ENSMODG00000006229","CLIC2","ENSDNOG00000030705","CLIC2","ortholog_one2one","ENSOCUG00000007480","CLIC2","ortholog_one2one"
"ENSMODG00000011427","TSC22D3","ENSDNOG00000049125","TSC22D3","ortholog_one2one","ENSOCUG00000012397","TSC22D3","ortholog_one2one"
"ENSMODG00000011470","ACSL4","ENSDNOG00000047269","ACSL4","ortholog_one2one","ENSOCUG00000005010","ACSL4","ortholog_one2one"
"ENSMODG00000025395","TMEM164","ENSDNOG00000033871","TMEM164","ortholog_one2one","ENSOCUG00000016955","TMEM164","ortholog_one2one"
"ENSMODG00000011480","AMMECR1","ENSDNOG00000049656","AMMECR1","ortholog_one2one","ENSOCUG00000016969","AMMECR1","ortholog_one2one"
"ENSMODG00000011507","IRS4","ENSDNOG00000032467","IRS4","ortholog_one2one","ENSOCUG00000010909","IRS4","ortholog_one2one"
"ENSMODG00000011584","COL4A5","ENSDNOG00000011872","COL4A5","ortholog_one2one","ENSOCUG00000010874","COL4A5","ortholog_one2one"
"ENSMODG00000011603","ATG4A","ENSDNOG00000001903","ATG4A","ortholog_one2one","ENSOCUG00000010839","ATG4A","ortholog_one2one"
"ENSMODG00000027596","VSIG1","ENSDNOG00000036178","VSIG1","ortholog_one2one","ENSOCUG00000010826","VSIG1","ortholog_one2one"
"ENSMODG00000011644","MID2","ENSDNOG00000018747","MID2","ortholog_one2one","ENSOCUG00000012407","MID2","ortholog_one2one"
"ENSMODG00000011680","STARD8","ENSDNOG00000041140","STARD8","ortholog_one2one","ENSOCUG00000010783","STARD8","ortholog_one2one"
"ENSMODG00000011692","YIPF6","ENSDNOG00000038229","YIPF6","ortholog_one2one","ENSOCUG00000014510","YIPF6","ortholog_one2one"
"ENSMODG00000012412","AR","ENSDNOG00000049635","AR","ortholog_one2one","ENSOCUG00000003142","AR","ortholog_one2one"
"ENSMODG00000012456","HEPH","ENSDNOG00000035671","HEPH","ortholog_one2one","ENSOCUG00000014866","HEPH","ortholog_one2one"
